ID,Task Type,Name,Main Duration,Main Start,Main End,Planned Duration,Planned Start,Planned End,Actual Duration,Actual Start,Actual End,Remaining Duration,Remaining Start,Remaining End,Main Equipment Cost,Main Material Cost,Main Labor Cost,Main Expense Cost,Main Total Cost,Planned Equipment Cost,Planned Material Cost,Planned Labor Cost,Planned Expense Cost,Planned Total Cost,Actual Equipment Cost,Actual Material Cost,Actual Labor Cost,Actual Expense Cost,Actual Total Cost,Remaining Equipment Cost,Remaining Material Cost,Remaining Labor Cost,Remaining Expense Cost,Remaining Total Cost,Predecessors,Successors,Constraint Type,Constraint Date,OutlineNumber,Task Source,Unique Id,Fuzor Id,Fuzor GUID,Fuzor Task Type Color,Fuzor Task State Color,사용자지정 열 1,사용자지정 열 2,사용자지정 열 3,사용자지정 열 4,사용자지정 열 5,사용자지정 열 6
A1000,Construction,평택-오소 5공구 터널 시뮬레이션,,,,,2025-01-01T00:00:00,2025-12-31T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,As Soon As Possible,,1,Fuzor,1,1,F12411561053305437541,,,,,,,,
A1010,Equipment,경사갱 그라우팅 장비 운용,,,,,2025-01-01T00:00:00,2025-01-04T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.101,Fuzor 마이크로,2,2,F5918539490715162625,,,,,,,,
A1020,Construction,경사갱 PI-6_그라우팅1,,,,,2025-01-04T00:00:00,2025-01-05T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.102,Fuzor 마이크로,3,3,F19010103306320855,,,,,,,,
A1030,Construction,공사용 갱문_강지보,,,,,2025-01-06T00:00:00,2025-01-07T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.103,Fuzor 마이크로,4,4,F0,,,,,,,,
A1040,Construction,공사용 갱문_숏크리트,,,,,2025-01-08T00:00:00,2025-01-09T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.104,Fuzor 마이크로,5,5,F0,,,,,,,,
A1050,Equipment,경사갱 굴착 장비 운용,,,,,2025-01-09T00:00:00,2025-01-14T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.105,Fuzor 마이크로,6,6,F0,,,,,,,,
A1060,Temporary,경사갱 굴착 작업자,,,,,2025-01-09T00:00:00,2025-01-14T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.106,Fuzor 마이크로,7,7,F0,,,,,,,,
A1070,Demolish,공사용 갱문_강지보 숨기기,,,,,2025-01-14T00:00:00,2025-01-14T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.107,Fuzor 마이크로,8,8,,,,,,,,,
A1080,Demolish,경사갱 PI-6_상반굴착1,,,,,2025-01-14T00:00:00,2025-01-15T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.108,Fuzor 마이크로,9,9,F0,,,,,,,,
A1090,Construction,경사갱 PI-6_록상반1,,,,,2025-01-15T00:00:00,2025-01-16T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.109,Fuzor 마이크로,10,10,F0,,,,,,,,
