활성,이름,작업 중첩,실제 날짜 사용,실제 시작,실제 끝,계획된 날짜 사용,계획된 시작,계획된 끝,작업 유형,연결됨,스크립트,데이터 소스,동기화 ID,표시 ID,애니메이션,애니메이션 동작,진행률(%),주석,재료비,임금 비용,장비 비용,하청업체 비용,사용자 1,사용자 2,사용자 3,사용자 4,사용자 5,사용자 6,사용자 7,사용자 8,사용자 9,사용자 10
1,New Data Source (Root),0,1,,,1,2015-06-01,2015-09-30,,,,New Data Source,ROOT_TASK_1,,,축척,0.0%,0,0.000000,47398500.000000,0.000000,0.000000,,,,,,,,,,
1,A1 버림: A1 버림,1,1,,,1,2015-06-01,2015-06-15,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312001-01,,,축척,0.0%,0,0.000000,127124.000000,0.000000,0.000000,,,,,,,,,,
1,A2 버림: A2 버림,1,1,,,1,2015-06-01,2015-06-15,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312002-01,,,축척,0.0%,0,0.000000,127124.000000,0.000000,0.000000,,,,,,,,,,
1,A1 기초: A1 기초,1,1,,,1,2015-06-15,2015-06-30,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312001-02,,,축척,0.0%,0,0.000000,786346.000000,0.000000,0.000000,,,,,,,,,,
1,A2 기초: A2 기초,1,1,,,1,2015-06-15,2015-06-30,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312002-02,,,축척,0.0%,0,0.000000,786346.000000,0.000000,0.000000,,,,,,,,,,
1,A1 벽체: A1 벽체,1,1,,,1,2015-07-01,2015-07-15,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312001-03,,,축척,0.0%,0,0.000000,4041401.000000,0.000000,0.000000,,,,,,,,,,
1,A2 벽체: A2 벽체,1,1,,,1,2015-07-01,2015-07-15,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312002-03,,,축척,0.0%,0,0.000000,4041798.000000,0.000000,0.000000,,,,,,,,,,
1,헌치: A1 헌치,1,1,,,1,2015-07-01,2015-07-15,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1312001-04,,,축척,0.0%,0,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,
1,중간벽체 1: 중간벽체 1,1,1,,,1,2015-07-15,2015-07-30,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1313001,,,축척,0.0%,0,0.000000,5524139.000000,0.000000,0.000000,,,,,,,,,,
1,중간벽체 2: 중간벽체 2,1,1,,,1,2015-07-15,2015-07-30,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13100-E1313002,,,축척,0.0%,0,0.000000,5533146.000000,0.000000,0.000000,,,,,,,,,,
1,슬래브 1-1: 슬래브 1-1,1,1,,,1,2015-08-01,2015-08-08,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13200-S1614001-01,,,축척,0.0%,0,0.000000,301888.000000,0.000000,0.000000,,,,,,,,,,
1,슬래브 1-2: 슬래브 1-2,1,1,,,1,2015-08-08,2015-08-15,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13200-S1614001-02,,,축척,0.0%,0,0.000000,1831161.000000,0.000000,0.000000,,,,,,,,,,
1,슬래브 2: 슬래브 2,1,1,,,1,2015-08-15,2015-08-30,Construct,명시적 선택,,New Data Source,F19000-22-F1510103-S31100-E13200-S1614002,,,축척,0.0%,0,0.000000,3452983.000000,0.000000,0.000000,,,,,,,,,,
